User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Miss Wynne,@misswynnetweets,2024-04-14T18:34:24.000Z,"Miss Wynne
@misswynnetweets
·
24mReplying to 
@misswynnetweets",,,
The Mission to Seafarers,@FlyingAngelNews,2024-04-14T18:00:00.000Z,"The Mission to Seafarers
@FlyingAngelNews
·
58mLast year's Seafarers Awards were truly remarkable! We celebrated outstanding individuals who have significantly impacted the maritime industry. Join us again this year! Submit your nominations here: https://bit.ly/49ee6EC 
@Shell
  @bhp
 @PilSingapore",,,1
Humboldt Broncos,@HumboldtBroncos,2024-04-14T15:28:01.000Z,"Humboldt Broncos
@HumboldtBroncos
·
3hWe got more work to do tonight!

Let’s pack that EPA!!

Here’s your 
@bhp
 recap from Game 5 that got us back home tonight for Game 6",,1,12
Pankaj Pramanik(https://pglfmc.com/Dubai GlobalHQ),@pglfmc,2024-04-14T14:57:52.000Z,"Pankaj Pramanik(https://pglfmc.com/Dubai GlobalHQ)
@pglfmc
·
4hTwo of the biggest mining companies in the world — BHP Group Ltd. and Rio Tinto Group — are piloting a new technology that could significantly reduce the planet-overheating gas pollution produced by the steel industry. ⁦
@bhp
⁩ ⁦
@RioTinto
⁩",,,1
AK - 47,@anujtiwari8086,2024-04-14T14:43:18.000Z,"AK - 47
@anujtiwari8086
·
4hReplying to 
@shoaibJamei",,,
Progress by Sharing Ideas,@amanvincent,2024-04-14T01:09:24.000Z,"Progress by Sharing Ideas
@amanvincent
·
17h#Petregaz commissions its #LPG import and storage terminal in India! 
@petrobras
 @Petronas
 @WoodsideEnergy
 @bhp
 @TotalEnergies",,,
Austrade,@Austrade,2024-04-12T07:30:01.000Z,"Austrade
@Austrade
·
Apr 12@Arcaclimate
 is testing its #carbonmineralisation technology in a world-first project at 
@BHP
’s Mount Keith Nickel West Mine in #WesternAustralia. 

Learn more: https://ow.ly/WHO950Rc06s   

: Arca's autonomous rovers monitor and accelerate carbon mineralization.",,,
chrisjparrish,@chrisjparrish,2024-04-12T07:22:18.000Z,"chrisjparrish
@chrisjparrish
·
Apr 12Replying to 
@CobreLimited
 and 
@bhp",,,1
Austrade,@Austrade,2024-04-12T05:30:22.000Z,"Austrade
@Austrade
·
Apr 12@Arcaclimate
 is testing its #carbonmineralisation technology in a world-first project at 
@BHP
’s Mount Keith Nickel West Mine in #WesternAustralia: https://ow.ly/WHO950Rc06s 

: Arca's autonomous rovers monitor and accelerate carbon mineralization.",,1,2
Proactive,@proactive_UK,2024-04-12T04:32:02.000Z,"Proactive
@proactive_UK
·
Apr 12$BHP Three big Aussie oil stocks to watch https://tinyurl.com/2aqmzqjf 
@bhp
 #BHP",,,
BehaviourWorks Australia,@BehaviourWorksA,2024-04-12T03:00:00.000Z,"BehaviourWorks Australia
@BehaviourWorksA
·
Apr 12Some behaviours shifted and others remained the same, after the introduction of policies and programs to promote an inclusive and gender-balanced workforce across 
@BHP
 South Flank mine.

Read more:",,,
BHP,@bhp,2024-04-12T00:01:18.000Z,"BHP
@bhp
·
Apr 12More than 170 young people and adults in northern Chile, certified new job skills through the Local Skills Development 2023 programme, promoted by BHP Spence and Chile's National Training Service.

 https://bhp.co/MH

#chile #training #spence #mining",,1,6
COBRE LIMITED,@CobreLimited,2024-04-11T23:15:38.000Z,"COBRE LIMITED
@CobreLimited
·
Apr 12Cobre was delighted to attend the 
@BHP
 Xplor Toolkit Camp in Toronto for an intensive 3 day program. Toolkit Camp includes Xpert Masterclasses, technical & business coaching, connecting us with global service providers. It was an immersive experience!",1,3,11
Humboldt Broncos,@HumboldtBroncos,2024-04-11T18:29:36.000Z,"Humboldt Broncos
@HumboldtBroncos
·
Apr 11Another Overtime game.
Melfort takes it 4-3

Game 5 on Saturday with the season on the line!

Here’s your 
@bhp
 recap from Game 4.",,1,4
Arturo Quiñonez,@arthurqueen2011,2024-04-11T07:11:30.000Z,"Arturo Quiñonez
@arthurqueen2011
·
Apr 11Replying to 
@Tangible_Invest
 @GianniKov
 and 4 others",,,
HouseOflove,@HouseOfLove2022,2024-04-11T08:42:50.000Z,"HouseOflove
@HouseOfLove2022
·
Apr 11CHAFF CORPORATION / DIRECTORS / JUDGES ALERT    utterly fcking disrespectful GREEDY THIEVES. Bet there's some Satanic tentacles involved, they LOVE destroying faith/sacred sites with their abominations  #GreenIsNotGreen 
@bhp
 @abc15
 @US9thCircuit
  @SupremecourtUs
 #Arizona",6,,
Tele13 Radio,@Tele13_Radio,2024-04-10T17:10:08.000Z,"Tele13 Radio
@Tele13_Radio
·
Apr 10 Las noticias que marcarán la pauta del día en un solo lugar: Esto es #NotaDeVoz de #MesaCentral

Presenta: 
@bhp
 y Portillo",,,
Rahman khan || $MON || .NYAN|| $RCADE,@Rahmankhan71180,2024-04-10T16:46:57.000Z,"Rahman khan || $MON || .NYAN|| $RCADE
@Rahmankhan71180
·
Apr 10#spacecatch #airdrop #gamefi https://twitter.com/spacecatch_io/status/1775920049158516808… 
@ClaraEOspinaG
 @PrincipalCBHS
 @bhp",,,
Carl Moses,@CarlMoses60,2024-04-10T15:55:03.000Z,"Carl Moses
@CarlMoses60
·
Apr 10La industria del #cobre está cerca de tener un nuevo #líder.
@bhp
 se encamina a destronar a 
@codelco
 como mayor productor de cobre del mundo, según estimaciones de 
@Bloomberg
 Intelligence.",,,
Shari Lemon,@ShariLemon,2024-04-10T12:11:55.000Z,"Shari Lemon
@ShariLemon
·
Apr 10Last day of 
@STARSambulance
 Critical Care on the Air Radiothon! presented by 
@bhp
!  Our 
@ViterraCanada
 lifeline is open 1-877-507-8277 or donate online https://events.stars.ca/criticalcareontheair.sk/… #STARScareontheair",,1,1
Natascha Crundwell-U,@NCrundwellUber,2024-04-10T11:33:05.000Z,"Natascha Crundwell-U
@NCrundwellUber
·
Apr 10@bhp
  set to dethrone 
@CodelcoChile
  as world’s biggest #copper producer https://bit.ly/3JcMtkB 
@markets
 @mining
 @jamesattwood
 #batterymetals",1,,
BHP,@bhp,2024-04-10T00:01:06.000Z,"BHP
@bhp
·
Apr 10 Meet Jess. She works as a Technician at Finucane Island, which is an integral part of our Port operations in Western Australia.

 Jess is responsible for monitoring, inspecting and maintaining our Fixed Plant Equipment.

#mining #womeninmining #westernaustralia",1,,17
Lukoki,@ymbl95,2024-04-09T21:22:26.000Z,"Lukoki
@ymbl95
·
Apr 9Replying to 
@ThronesWinter
 @Presidence_RDC
 and 5 others",,,
Thrones,@ThronesWinter,2024-04-09T17:00:18.000Z,"Thrones
@ThronesWinter
·
Apr 9Dans les années à venir, l'Afrique est appelée à devenir une plaque tournante mondiale pour les entreprises, où les minerais sont non seulement extraits mais aussi transformés directement sur place.
@Presidence_RDC
 @julienpalukucom
 @trafigura
 @Glencore
 @RioTinto
 @bhp",1,2,2
Daniel Hodson,@Dreamboat1966,2024-04-09T10:38:50.000Z,"Daniel Hodson
@Dreamboat1966
·
Apr 9Replying to 
@ByronBayGold1
 @FortescueNews
 and 5 others",,1,2
Bradley Dean,@TBG9270584,2024-04-09T10:00:57.000Z,"Bradley Dean
@TBG9270584
·
Apr 9The #Bitcoin effect is very real.
When does an ASX   listed company wake up to what MicroStrategy (and Metaplanet inc) is doing?
It’s incredible that companies like 
@bhp
 @Veolia
 @Wesfarmers
 @Qantas
 @VirginAustralia
 @AGLEnergy
 haven’t announced a #btc holding yet. How old are…
Show more",5,2,4
Bradley Dean,@TBG9270584,2024-04-09T09:19:57.000Z,"Bradley Dean
@TBG9270584
·
Apr 9Replying to 
@THEDWOLFBTC
 @bhp
 and 5 others",,1,2
DWOLFBTC,@THEDWOLFBTC,2024-04-09T09:16:55.000Z,"DWOLFBTC
@THEDWOLFBTC
·
Apr 9Replying to 
@TBG9270584
 @bhp
 and 5 others",2,2,2
Bradley Dean,@TBG9270584,2024-04-09T09:07:18.000Z,"Bradley Dean
@TBG9270584
·
Apr 9Replying to 
@THEDWOLFBTC",,1,1
ByronBayGold,@ByronBayGold1,2024-04-09T08:12:13.000Z,"ByronBayGold
@ByronBayGold1
·
Apr 9Somebody doesn't want Solgold moving into the 10's. Is it because a takeover is in play? Where is Scott? Where is the funding? Why are the breaks on? 10% of the company has traded in previous 20 odd sessions. 
@FortescueNews
 @Wyloo_
 @bhp
 @NewmontCorp
 @SolGold_plc
 @CRCCNews",1,1,3
Graham,@graham_gAndrews,2024-04-09T08:11:48.000Z,"Graham
@graham_gAndrews
·
Apr 9Replying to 
@Live_the_Dream8
 @CognitiveVerb
 and 4 others",1,,
Not actually a MealWorm,@CognitiveVerb,2024-04-09T07:50:28.000Z,"Not actually a MealWorm
@CognitiveVerb
·
Apr 9Replying to 
@Live_the_Dream8
 @TaskerLady89977
 and 3 others",,,
Andrew,@Live_the_Dream8,2024-04-09T07:28:00.000Z,"Andrew
@Live_the_Dream8
·
Apr 9Replying to 
@CognitiveVerb
 @TaskerLady89977
 and 3 others",1,,
