User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
TimBukOne,@TimBukOne,2024-03-30T06:04:12.000Z,"TimBukOne
@TimBukOne
·
Mar 30#JSE Trading Stats - 28/03/2024 - #SACorporateRealEstate #Naspers #BHPGroup #RedefineProperties #AngloAmerican #AnheuserBusch",1,,
Jesica,@mizuhof,2024-03-30T01:42:31.000Z,"Jesica
@mizuhof
·
Mar 30Replying to 
@mizuhof",1,,1
SteelRadar,@steelradar,2024-03-29T11:21:48.000Z,"SteelRadar
@steelradar
·
Mar 29China's young steel industry complicates net zero target
Mike Henry, CEO of BHP Group Ltd, states that China's steel industry is younger compared to Europe and therefore follows a different strategy to achieve decarbonization targets. This shows that China may be at a…
Show more",,,
TimBukOne,@TimBukOne,2024-03-29T06:01:13.000Z,"TimBukOne
@TimBukOne
·
Mar 29#JSE Trading Stats - 28/03/2024 - #SACorporateRealEstate #Naspers #BHPGroup #RedefineProperties #AngloAmerican #AnheuserBusch",,,
Kaiser Wilhelm I. 1871,@KWilhelm1871,2024-03-28T21:27:18.000Z,"Kaiser Wilhelm I. 1871
@KWilhelm1871
·
Mar 28Replying to 
@Finanzdani",1,,2
NAI500,@NAI500,2024-03-28T18:30:27.000Z,"NAI500
@NAI500
·
Mar 28[全球前五大 #铜 储量国（2024年更新）]

BHP Group Ltd. $BHP
Southern Copper Corp $SCCO
Zijin Mining Group $ZIJMY

深入了解：https://ow.ly/OjQP50R4kU3

#cleanenergy #gold #copper",,,
TimBukOne,@TimBukOne,2024-03-28T06:03:14.000Z,"TimBukOne
@TimBukOne
·
Mar 28#JSE Trading Stats - 26/03/2024 - #Firstrand #Naspers #BHPGroup #SibanyeStillwater #AnheuserBusch",1,,
Leyla Turut,@leylasborsa1,2024-03-28T02:22:32.000Z,"Leyla Turut
@leylasborsa1
·
Mar 28Replying to 
@leylasborsa1",1,,9
CommSec,@CommSec,2024-03-28T01:25:35.000Z,"CommSec
@CommSec
·
Mar 28In Sydney, mining stocks gained as much 2.1%, hitting their highest level since March 5. Heavyweights Rio Tinto $RIO, Fortescue $FMG and BHP Group $BHP climbed between 1.5% and 1.8%.",,2,2
CommSec,@CommSec,2024-03-27T20:21:55.000Z,"CommSec
@CommSec
·
Mar 27On Thursday, several ASX 200 listed companies pay their latest dividends to investors, including BHP Group $BHP, Commonwealth Bank of Australia $CBA and Telstra Group $TLS.",,1,5
TimBukOne,@TimBukOne,2024-03-27T06:01:15.000Z,"TimBukOne
@TimBukOne
·
Mar 27#JSE Trading Stats - 26/03/2024 - #Firstrand #Naspers #BHPGroup #SibanyeStillwater #AnheuserBusch",,1,
CommSec,@CommSec,2024-03-27T00:11:01.000Z,"CommSec
@CommSec
·
Mar 27Australian mining stocks slide as much as 0.9% to their lowest level since March 19 on soft iron ore prices. Shares of top miners BHP Group $BHP and Rio Tinto $RIO fall as much as 1.2% and 2.2%, respectively.",1,1,1
TimBukOne,@TimBukOne,2024-03-26T06:04:13.000Z,"TimBukOne
@TimBukOne
·
Mar 26#JSE Trading Stats - 25/03/2024 - #Firstrand #Naspers #BHPGroup #RedefineProperties #AnheuserBusch",,1,
