User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Peter van Dijk,@petrusvandijk,2024-03-30T07:25:49.000Z,"Peter van Dijk
@petrusvandijk
·
9hCountries that want suspend #EU #deforestation reg-n #EUDR, #Finland #Sweden #Austria have Europe's biggest #forestry #paper bus-s: 
@storaenso
 @UPMGlobal
 @SCA
 @mondigroup
. #Poland huge state foresy auth-y 
@LPanstwowe
. 
@Fern_NGO
 etc. should focus on EUR #forest with EU law",,,
Jussi Keskin,@JussiKeski13219,2024-03-28T22:32:30.000Z,"Jussi Keskin
@JussiKeski13219
·
Mar 28Replying to 
@Totuus54
 and 
@PauliVahtera",,1,2
EuropaWire,@europawire,2024-03-28T16:44:18.000Z,"EuropaWire
@europawire
·
Mar 28#StoraEnso Releases 2023 #GreenFinancing #Report Highlighting Environmental Impact https://news.europawire.eu/stora-enso-releases-2023-green-financing-report-highlighting-environmental-impact/eu-press-release/2024/03/28/17/42/59/133212/… #GREENBONDS 
@storaenso",,,
Travis Perkins Group News,@TP_plc,2024-03-28T16:17:04.000Z,"Travis Perkins Group News
@TP_plc
·
Mar 28Earlier this week the 
@ConstructionCLC
 published its annual review for 2023 & Delivery Plan for 2024

At the launch, our CEO, Nick Roberts, chaired a panel with the CLC Young Ambassadors from 
@WatesGroup
, 
@StoraEnso
 and 
@ArcadisGlobal
.

Read the report   https://bit.ly/3vu2GPi",,,
Its rider’s name was Death...,@TomKeepIt,2024-03-28T14:25:19.000Z,"Its rider’s name was Death...
@TomKeepIt
·
Mar 28Replying to 
@TomKeepIt",,,1
Structural Timber Magazine,@STMagUK,2024-03-28T12:00:00.000Z,"Structural Timber Magazine
@STMagUK
·
Mar 28Considering embodied carbon of buildings to enhance sustainable design. Johanna Pirinen, SVP of Sustainability at 
@storaenso
, explores further https://structuraltimbermagazine.co.uk/news/considering-embodied-carbon-of-buildings-to-enhance-sustainable-design/…

#Carbon #Timber #Sustainability #Design #Construction",,,1
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,@IdeaBankKandZ,2024-03-26T09:10:13.000Z,"Sir Henri & Ekaterina Zubrithskaya-Knuuttila
@IdeaBankKandZ
·
Mar 26Replying to 
@IdeaBankKandZ
 @aliciakeys
 and 47 others",,,
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,@IdeaBankKandZ,2024-03-26T08:07:33.000Z,"Sir Henri & Ekaterina Zubrithskaya-Knuuttila
@IdeaBankKandZ
·
Mar 26Replying to 
@IdeaBankKandZ
 @aliciakeys
 and 47 others",1,,
VTT,@VTTFinland,2024-03-26T08:00:59.000Z,"VTT
@VTTFinland
·
Mar 26VTT and 
@storaenso
 are proud to introduce a new wood-based barrier film to replace traditional fossil-based packaging materials 

""We were impressed by VTT’s technical insights and focus on solving industrial scalability and production bottlenecks.""",,,4
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,@IdeaBankKandZ,2024-03-26T05:40:23.000Z,"Sir Henri & Ekaterina Zubrithskaya-Knuuttila
@IdeaBankKandZ
·
Mar 26Replying to 
@IdeaBankKandZ
 @aliciakeys
 and 47 others",1,,
Future of Forestry,@ForestryFuture,2024-03-25T21:15:05.000Z,"Future of Forestry
@ForestryFuture
·
Mar 25Replying to 
@storaenso",,,
