User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jeanleuguin,@Jeanleuguin1,2024-04-02T19:17:15.000Z,"Jeanleuguin
@Jeanleuguin1
·
2mReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Paradigme,@ParadigmeGA,2024-04-02T19:08:13.000Z,"Paradigme
@ParadigmeGA
·
11mReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Laurent -,@Digit_paris,2024-04-02T18:56:07.000Z,"Laurent -
@Digit_paris
·
23mReplying to 
@ComTorenn
 @marietouss1
 and 
@TotalEnergies",,,
Raikko,@Raikko_11,2024-04-02T18:45:06.000Z,"Raikko
@Raikko_11
·
34mReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Napoleonicus,@marredelagauche,2024-04-02T18:44:34.000Z,"Napoleonicus
@marredelagauche
·
35mReplying to 
@marietouss1
 and 
@TotalEnergies",,,
SIBOUT,@MarcSibout,2024-04-02T18:29:41.000Z,"SIBOUT
@MarcSibout
·
50mReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Les Ripoublicains En Marche ☭,@elosoperdido,2024-04-02T18:28:12.000Z,"Les Ripoublicains En Marche ☭
@elosoperdido
·
51mReplying to 
@marietouss1
 and 
@TotalEnergies",,,1
BFM Bourse,@BFMBourse,2024-04-02T16:07:49.000Z,"BFM Bourse
@BFMBourse
·
3hCac 40 : Malgré un Totalenergies au sommet de sa forme, le CAC 40 s'éloigne de ses records
https://l.bfmtv.com/oFjW",,,1
BFM Business,@bfmbusiness,2024-04-02T16:07:49.000Z,"BFM Business
@bfmbusiness
·
3hCac 40 : Malgré un Totalenergies au sommet de sa forme, le CAC 40 s'éloigne de ses records
https://l.bfmtv.com/iC6q",,1,2
Loïc JC REVEL,@loicjcrevel,2024-04-02T15:48:39.000Z,"Loïc JC REVEL
@loicjcrevel
·
3hReplying to 
@Folgabgeo
 @marietouss1
 and 
@TotalEnergies",,,
"Trade Alerts, Trade Ideas and Crypto",@AlertTrade,2024-04-02T15:46:34.000Z,"Trade Alerts, Trade Ideas and Crypto
@AlertTrade
·
3hUPSIDE MOMO: $TTE TotalEnergies SE via  http://alerttrade.us",,,1
GARCIA,@Schwezy73,2024-04-02T15:43:17.000Z,"GARCIA
@Schwezy73
·
3hReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Christophe Osswald φ𝝼,@Christophe_Owd,2024-04-02T15:37:19.000Z,"Christophe Osswald φ𝝼
@Christophe_Owd
·
3hReplying to 
@Christophe_Owd
 @marietouss1
 and 
@TotalEnergies",1,,
LeiR3aG,@LeiR3aG,2024-04-02T15:26:57.000Z,"LeiR3aG
@LeiR3aG
·
3hReplying to 
@marietouss1
 and 
@TotalEnergies",1,3,13
Ben,@Ben75Potter,2024-04-02T13:52:49.000Z,"Ben
@Ben75Potter
·
5hReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Jsol99,@Jsol991,2024-04-02T13:17:04.000Z,"Jsol99
@Jsol991
·
6hReplying to 
@marietouss1
 and 
@TotalEnergies",,,
germin6983,@gmdev83,2024-04-02T13:12:54.000Z,"germin6983
@gmdev83
·
6hReplying to 
@marietouss1
 and 
@TotalEnergies",,,1
Nico2975,@Nico2975,2024-04-02T12:54:35.000Z,"Nico2975
@Nico2975
·
6hReplying to 
@princertitude",,,
vae_victis_76Z,@vae_victis_76,2024-04-02T12:44:55.000Z,"vae_victis_76Z
@vae_victis_76
·
6hReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Carmen,@EuropaOlimpia,2024-04-02T12:44:02.000Z,"Carmen
@EuropaOlimpia
·
6h@TotalEnergies
 Estoy viviendo una experiencia muy lamentable. Alguien SIN MI AUTORIZACIÓN y desde mi compañía eléctrica, se ha puesto a tramitar mi alta en su compañía. Espero poder solucionarlo. Y ustedes, por favor, deben poner atención en sus vendedores.",,,
Maverick,@maverick_belge,2024-04-02T12:35:36.000Z,"Maverick
@maverick_belge
·
6hReplying to 
@marietouss1
 and 
@TotalEnergies",,,2
Ufip Énergies et Mobilités,@UfipEM,2024-04-02T11:58:27.000Z,"Ufip Énergies et Mobilités
@UfipEM
·
7hLe PDG de 
@TotalEnergies
, Patrick Pouyanné, se défend de faire des profits exceptionnels dans l'Hexagone. La compagnie française ne fait pas de super-profits « en France », a-t-il affirmé.

https://latribune.fr/climat/energie-environnement/totalenergies-patrick-pouyanne-se-defend-de-faire-des-super-profits-en-france-994157.html#:~:text=Energie%20%26%20Environnement-,TotalEnergies%20%3A%20Patrick%20Pouyann%C3%A9%20se%20d%C3%A9fend%20de%20faire%20des%20%C2%AB%20super%2D,gigantesques%20r%C3%A9alis%C3%A9s%20par%20certaines%20entreprises…. 
@LaTribune",,1,
®ن,@rodsca,2024-04-02T10:46:37.000Z,"®ن
@rodsca
·
8hReplying to 
@ChaptalCh
 @marietouss1
 and 
@TotalEnergies",1,,1
Rebel Pujiri,@RebelPujiri,2024-04-02T10:38:57.000Z,"Rebel Pujiri
@RebelPujiri
·
8hReplying to 
@marietouss1
 and 
@TotalEnergies",,,1
The Snake,@bon_snake,2024-04-02T09:05:58.000Z,"The Snake
@bon_snake
·
10hReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Patrick Garo,@PatrickGaro,2024-04-02T08:11:00.000Z,"Patrick Garo
@PatrickGaro
·
11hReplying to 
@marietouss1
 and 
@TotalEnergies",,,
Enrico,@ErProjekte,2024-04-02T07:30:26.000Z,"Enrico
@ErProjekte
·
11hReplying to 
@Jens7berlin",1,,3
Etienne Verpin,@EtienneVerpin,2024-04-02T07:25:38.000Z,"Etienne Verpin
@EtienneVerpin
·
11hReplying to 
@marietouss1
 and 
@TotalEnergies",,,8
Latest News from Business Wire,@NewsFromBW,2024-04-02T06:08:19.000Z,"Latest News from Business Wire
@NewsFromBW
·
13hTotalEnergies SE UK Regulatory Announcement: TotalEnergies Celebrates its 100th Anniversary and Launches the Operation ""100 for 100"" http://dlvr.it/T4xW9Q",,,
Latest News from Business Wire,@NewsFromBW,2024-04-02T06:08:17.000Z,"Latest News from Business Wire
@NewsFromBW
·
13hTotalEnergies SE UK Regulatory Announcement: TotalEnergies releases its Universal Registration Document 2023 (Document d’enregistrement universel 2023) and its Form 20-F 2023 as well as the proposed resolutions for the Combined Shareholders’ Meeting of… http://dlvr.it/T4xW8f",,,
Seeking Alpha Market News,@MarketCurrents,2024-04-01T21:44:05.000Z,"Seeking Alpha Market News
@MarketCurrents
·
21h$CWEN - TotalEnergies SE buys $4.5M in Clearway Energy common stock",,,1
Hadrien Clouet,@HadrienClouet,2024-04-01T21:30:54.000Z,"Hadrien Clouet
@HadrienClouet
·
21hTraduction : pour 1000€ de superprofits, 
@TotalEnergies
 lâchera 1€.

De qui se moque-t-on ?",3,10,46
Team TotalEnergies,@TeamTotalEnrg,2024-04-01T16:20:26.000Z,"Team TotalEnergies
@TeamTotalEnrg
·
Apr 1Fin de cette première journée de compétition sur 
@ehitzulia
  @JegatJordan
 réalise la meilleure performance du Team en bouclant le CLM en 13’14 

 RDV demain pour la 2ème étape, qui se déroulera majoritairement en France  

 
@GettySport
#AllezTotalEnergies #Itzulia2024",1,3,45
QuotaClimat,@QuotaClimat,2024-04-01T15:45:34.000Z,"QuotaClimat
@QuotaClimat
·
Apr 1Replying to 
@QuotaClimat",1,,1
QuotaClimat,@QuotaClimat,2024-04-01T15:45:33.000Z,"QuotaClimat
@QuotaClimat
·
Apr 1Replying to 
@QuotaClimat",1,,
Arnaud Delebarre,@ArnaudDelebarre,2024-04-01T14:28:05.000Z,"Arnaud Delebarre
@ArnaudDelebarre
·
Apr 1@info_energies
@TotalEnergies
 ne fait pas de super-profits ""en France"" affirme le PDG 
@PPouyanne
Comprendre : les super-profits se font hors de France, où il n'y a que l'opération 100 pour 100 et ses ""gestes"" de 100 €.

Une menace d'évasion fiscale ?",,,1
PM733 #24ansDeCheminsDeFer,@ControleurPM733,2024-03-31T07:34:54.000Z,"PM733 #24ansDeCheminsDeFer
@ControleurPM733
·
Mar 31TotalEnergies : quand la diplomatie française se met au service du géant pétrolier, contre le climat via 
@Mediapart",,,
