User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Peter van Dijk,petrusvandijk,2024-03-30 07:25:49+00:00,9hcountries that want suspend eu deforestation reg n eudr finland sweden austria have europe s biggest forestry paper bus s storaenso upmglobal sca mondigroup poland huge state foresy auth y lpanstwowe fern ngo etc should focus on eur forest with eu law,0.0,0.0,0,Bullish,neutral
Jussi Keskin,JussiKeski13219,2024-03-28 22:32:30+00:00,mar 28replying to totuus54 and paulivahtera,0.0,1.0,2,Bullish,neutral
EuropaWire,europawire,2024-03-28 16:44:18+00:00,mar 28 storaenso releases 2023 greenfinancing report highlighting environmental impact greenbonds storaenso,0.0,0.0,0,Bearish,neutral
Travis Perkins Group News,TP_plc,2024-03-28 16:17:04+00:00,mar 28earlier this week the constructionclc published its annual review for 2023 delivery plan for 2024 at the launch our ceo nick roberts chaired a panel with the clc young ambassadors from watesgroup storaenso and arcadisglobal read the report,0.0,0.0,0,Bullish,neutral
Its rider’s name was Death...,TomKeepIt,2024-03-28 14:25:19+00:00,mar 28replying to tomkeepit,0.0,0.0,1,Bullish,neutral
Structural Timber Magazine,STMagUK,2024-03-28 12:00:00+00:00,mar 28considering embodied carbon of buildings to enhance sustainable design johanna pirinen svp of sustainability at storaenso explores further carbon timber sustainability design construction,0.0,0.0,1,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-26 09:10:13+00:00,mar 26replying to ideabankkandz aliciakeys and 47 others,0.0,0.0,0,Bullish,neutral
VTT,VTTFinland,2024-03-26 08:00:59+00:00,mar 26vtt and storaenso are proud to introduce a new wood based barrier film to replace traditional fossil based packaging materials we were impressed by vtt s technical insights and focus on solving industrial scalability and production bottlenecks,0.0,0.0,4,Bullish,positive
Future of Forestry,ForestryFuture,2024-03-25 21:15:05+00:00,mar 25replying to storaenso,0.0,0.0,0,Bullish,neutral
Jari Valtanen,JariValtanen,2024-03-25 20:03:13+00:00,mar 25helsingin p rssin suurimmat yhti t 1997 nokia upm kymmene merita neste enso sampo outokumpu 25 vuotta my hemmin suurimmat yhti t nordea ent merita sampo kone upm kymmene neste fortum show more,0.0,0.0,2,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-25 18:45:03+00:00,mar 25replying to ideabankkandz aliciakeys and 47 others,1.0,0.0,0,Bullish,neutral
Metsämiesten Säätiö,mmsaatio,2024-03-25 05:45:36+00:00,mar 25stora enso mets n liperil iselle johtaja bioenergia ja b2b kaupat satu h rk selle on my nnetty mets miesten s ti n ty yhteis n hyv tyyppi stipendi satu on toisia kannustava ja innostava aktiivinen ja energinen kollega jonka kanssa sovitut asiat etenev t takuuvarmasti show more,0.0,2.0,14,Bullish,neutral
EUWID Verpackung,euwidverpackung,2024-03-25 09:43:42+00:00,mar 25aufgrund der anhaltenden streiks in den h fen finnlands hat stora enso damit begonnen die fabriken imatra und oulu vollst ndig herunterzufahren packaging produktionsausfall,0.0,0.0,0,Bearish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-25 13:10:34+00:00,mar 25replying to ideabankkandz aliciakeys and 48 others,1.0,0.0,0,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-24 14:08:42+00:00,mar 24replying to ideabankkandz aliciakeys and 48 others,1.0,0.0,0,Bullish,neutral
Joseph Angelo,Beachdudeca,2024-03-22 18:48:42+00:00,mar 22replying to reutersbiz,0.0,0.0,0,Bullish,neutral
Muovipullo,MrMuovipullo,2024-03-22 17:34:38+00:00,mar 22replying to anu lindqvist and andreeiijj,1.0,0.0,0,Bearish,neutral
Etelä-Saimaa,ESaimaa,2024-03-22 16:56:08+00:00,mar 22yle stora enso ajaa imatran tehtaiden tuotannon kokonaan alas,0.0,0.0,0,Bullish,neutral
Reuters Business,ReutersBiz,2024-03-22 16:01:05+00:00,mar 22finland s stora enso shuts two further production sites due to strikes,3.0,1.0,3,Bullish,negative
Uutisvuoksi,Uutisvuoksi,2024-03-22 12:34:07+00:00,mar 22yle stora enso ajaa imatran tehtaiden tuotannon kokonaan alas my s simpeleen kartonkitehdas pys htyy lakkojen takia,0.0,0.0,0,Bullish,neutral
EUWID Pulp and Paper,euwidpaper,2024-03-22 11:55:47+00:00,mar 22upm stora enso mets group more strike related downtime in finland s pulp and paper industry finland euwid paper,0.0,0.0,0,Bullish,negative
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-22 10:43:35+00:00,mar 22replying to ideabankkandz aliciakeys and 48 others,1.0,0.0,0,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-22 10:35:44+00:00,mar 22replying to ideabankkandz aliciakeys and 49 others,1.0,0.0,0,Bearish,neutral
Christian Kopfer,ChKopfer,2024-03-22 08:13:17+00:00,mar 22replying to aimhonesty edvingranlund and 2 others,1.0,1.0,2,Bearish,neutral
Keskilaakso,Keskilaakso,2024-03-21 13:01:09+00:00,mar 21stora enso ajoi alas anjalankosken tehtaiden paperituotannon palkanmaksu keskeytyy lauantaina,0.0,0.0,0,Bullish,neutral
Jarmo Räikkönen,JarmoRaikkonen,2024-03-21 13:00:48+00:00,mar 21 painavasyy aiheuttaa v hint n 1 5 miljardin tappiot tehtaiden sulkemisia ja irtisanomisia pysyyk mets teollisuus suomessa lakot upm keskeytt tuotannon lappeen rannassa stora enso ajaa alas paperi koneet kouvolassa,0.0,0.0,3,Bullish,neutral
Kouvolan Sanomat,KouvolanSanomat,2024-03-21 12:38:34+00:00,mar 21yle stora enso ajoi alas anjalankosken tehtaiden paperituotannon,0.0,0.0,0,Bullish,neutral
Helsingin Sanomat,hsfi,2024-03-21 12:35:37+00:00,mar 21lakot upm keskeytt tuotannon lappeenrannassa stora enso ajaa alas paperikoneet kouvolassa,1.0,0.0,4,Bearish,neutral
HS Visio,hs_visio,2024-03-21 12:35:34+00:00,mar 21lakot upm keskeytt tuotannon lappeen rannassa stora enso ajaa alas paperi koneet kouvolassa,0.0,0.0,1,Bullish,neutral
Martti Kosonen,KosonenMartti,2024-03-21 11:36:30+00:00,mar 21stora enso on ajanut alas anjalankosken tehtaiden paperintuotannon kouvolassa tehtaidenjohtaja antti veitolan mukaan ongelmana on puunsaatavuus syyn on kuljetusalan lakko joka t m n hetken tietojen mukaan jatkuu maaliskuun loppuun asti aymafia,0.0,1.0,10,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-21 10:50:22+00:00,mar 21replying to ideabankkandz aliciakeys and 45 others,1.0,0.0,0,Bullish,neutral
Xcellent Insights,XcellentInsight,2024-03-21 10:10:41+00:00,mar 21 consumerelectronics packaging materials market report 2024 get a sample pdf copy top key players smurfitkappa dunapackdentas intlpaperco sonoco products sealed air show more,0.0,0.0,0,Bullish,neutral
WBCSD,wbcsd,2024-03-21 10:02:04+00:00,mar 21replying to wbcsd,0.0,0.0,0,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-21 09:54:51+00:00,mar 21replying to ideabankkandz aliciakeys and 47 others,1.0,0.0,0,Bullish,neutral
Cision News,CisionNews,2024-03-20 16:25:11+00:00,mar 20resolutions by stora enso oyj s annual general meeting and the organising meeting of the board of directors,0.0,0.0,0,Bullish,neutral
CisionNews Finland,CisionNews_fi,2024-03-20 16:18:18+00:00,mar 20stora enso oyj n varsinaisen yhti kokouksen ja hallituksen j rjestymiskokouksen p t kset,0.0,0.0,0,Bullish,neutral
Farbror Bryd,FarbrorBryd,2024-03-20 15:53:48+00:00,mar 20replying to farbrorbryd,0.0,0.0,0,Bullish,neutral
Jukka Holopainen,jukkaholopainen,2024-03-20 15:12:53+00:00,mar 20replying to annehitfh duunarit and elorantaja,1.0,0.0,0,Bullish,neutral
Karelian Hurmos,KarelianHurmos,2024-03-20 14:04:00+00:00,mar 20t n n hurmoksen kotipeliss otteluis nt n storaenso tervetuloa urheilutalolle klo 18 30 kotipeli pelip iv lentopallo mestaruusliiga,0.0,1.0,0,Bullish,neutral
Leva drömmen,Levadrommen,2024-03-20 12:11:49+00:00,mar 20aktiespararna direktavkastning f ljer ett index med 21 innehav men nu pl tsligt 24 innehav har dom gl mt s lja av intrum sbb och stora enso eller vad h nder cicerofonder aktiespararna,2.0,0.0,7,Bearish,neutral
лллмбрусkø,winishkoitwitty,2024-03-20 07:11:55+00:00,mar 20replying to cv market,0.0,0.0,0,Bullish,neutral
Sir Henri & Ekaterina Zubrithskaya-Knuuttila,IdeaBankKandZ,2024-03-20 02:11:17+00:00,mar 20replying to ideabankkandz aliciakeys and 45 others,1.0,0.0,4,Bullish,neutral
