User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Jeanleuguin,Jeanleuguin1,2024-04-02 19:17:15+00:00,2mreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,positive
Paradigme,ParadigmeGA,2024-04-02 19:08:13+00:00,11mreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Laurent -,Digit_paris,2024-04-02 18:56:07+00:00,23mreplying to comtorenn marietouss1 and totalenergies,0.0,0.0,0,Bearish,neutral
Raikko,Raikko_11,2024-04-02 18:45:06+00:00,34mreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,positive
Napoleonicus,marredelagauche,2024-04-02 18:44:34+00:00,35mreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,positive
SIBOUT,MarcSibout,2024-04-02 18:29:41+00:00,50mreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Les Ripoublicains En Marche ☭,elosoperdido,2024-04-02 18:28:12+00:00,51mreplying to marietouss1 and totalenergies,0.0,0.0,1,Bullish,neutral
BFM Bourse,BFMBourse,2024-04-02 16:07:49+00:00,3hcac 40 malgr un totalenergies au sommet de sa forme le cac 40 s loigne de ses records,0.0,0.0,1,Bullish,neutral
Loïc JC REVEL,loicjcrevel,2024-04-02 15:48:39+00:00,3hreplying to folgabgeo marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
"Trade Alerts, Trade Ideas and Crypto",AlertTrade,2024-04-02 15:46:34+00:00,3hupside momo tte totalenergies se via,0.0,0.0,1,Bullish,neutral
GARCIA,Schwezy73,2024-04-02 15:43:17+00:00,3hreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Christophe Osswald φ𝝼,Christophe_Owd,2024-04-02 15:37:19+00:00,3hreplying to christophe owd marietouss1 and totalenergies,1.0,0.0,0,Bullish,neutral
Ben,Ben75Potter,2024-04-02 13:52:49+00:00,5hreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Jsol99,Jsol991,2024-04-02 13:17:04+00:00,6hreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Nico2975,Nico2975,2024-04-02 12:54:35+00:00,6hreplying to princertitude,0.0,0.0,0,Bullish,neutral
Carmen,EuropaOlimpia,2024-04-02 12:44:02+00:00,6h totalenergies estoy viviendo una experiencia muy lamentable alguien sin mi autorizaci n y desde mi compa a el ctrica se ha puesto a tramitar mi alta en su compa a espero poder solucionarlo y ustedes por favor deben poner atenci n en sus vendedores,0.0,0.0,0,Bearish,positive
Ufip Énergies et Mobilités,UfipEM,2024-04-02 11:58:27+00:00,7hle pdg de totalenergies patrick pouyann se d fend de faire des profits exceptionnels dans l hexagone la compagnie fran aise ne fait pas de super profits en france a t il affirm latribune,0.0,1.0,0,Bullish,positive
®ن,rodsca,2024-04-02 10:46:37+00:00,8hreplying to chaptalch marietouss1 and totalenergies,1.0,0.0,1,Bullish,neutral
Rebel Pujiri,RebelPujiri,2024-04-02 10:38:57+00:00,8hreplying to marietouss1 and totalenergies,0.0,0.0,1,Bullish,positive
The Snake,bon_snake,2024-04-02 09:05:58+00:00,10hreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Patrick Garo,PatrickGaro,2024-04-02 08:11:00+00:00,11hreplying to marietouss1 and totalenergies,0.0,0.0,0,Bullish,neutral
Enrico,ErProjekte,2024-04-02 07:30:26+00:00,11hreplying to jens7berlin,1.0,0.0,3,Bullish,neutral
Latest News from Business Wire,NewsFromBW,2024-04-02 06:08:19+00:00,13htotalenergies se uk regulatory announcement totalenergies celebrates its 100th anniversary and launches the operation 100 for 100,0.0,0.0,0,Bullish,neutral
Latest News from Business Wire,NewsFromBW,2024-04-02 06:08:17+00:00,13htotalenergies se uk regulatory announcement totalenergies releases its universal registration document 2023 document d enregistrement universel 2023 and its form 20 f 2023 as well as the proposed resolutions for the combined shareholders meeting of,0.0,0.0,0,Bullish,neutral
Seeking Alpha Market News,MarketCurrents,2024-04-01 21:44:05+00:00,21h cwen totalenergies se buys 4 5m in clearway energy common stock,0.0,0.0,1,Bullish,neutral
Hadrien Clouet,HadrienClouet,2024-04-01 21:30:54+00:00,21htraduction pour 100 de superprofits totalenergies l chera 1 de qui se moque t on,3.0,10.0,46,Bullish,neutral
Team TotalEnergies,TeamTotalEnrg,2024-04-01 16:20:26+00:00,apr 1fin de cette premi re journ e de comp tition sur ehitzulia jegatjordan r alise la meilleure performance du team en bouclant le clm en 13 14 rdv demain pour la 2 me tape qui se d roulera majoritairement en france gettysport alleztotalenergies itzulia2024,1.0,3.0,45,Bearish,neutral
QuotaClimat,QuotaClimat,2024-04-01 15:45:34+00:00,apr 1replying to quotaclimat,1.0,0.0,1,Bullish,neutral
Arnaud Delebarre,ArnaudDelebarre,2024-04-01 14:28:05+00:00,apr 1 info energies totalenergies ne fait pas de super profits en france affirme le pdg ppouyanne comprendre les super profits se font hors de france o il n y a que l op ration 100 pour 100 et ses gestes de 100 une menace d vasion fiscale,0.0,0.0,1,Bullish,positive
